iter	Passed	Remaining
0	4	865
1	6	632
2	7	519
3	9	469
4	12	471
5	13	452
6	15	420
7	16	396
8	18	396
9	20	396
10	23	398
11	26	419
12	30	435
13	31	422
14	33	410
15	35	403
16	37	401
17	39	394
18	41	391
19	44	404
20	46	396
21	51	419
22	53	413
23	56	411
24	58	408
25	59	399
26	61	390
27	65	405
28	70	414
29	71	407
30	73	399
31	75	398
32	78	396
33	80	391
34	84	399
35	86	395
36	91	403
37	93	399
38	97	402
39	101	404
40	105	407
41	109	410
42	113	412
43	114	407
44	118	409
45	121	408
46	124	404
47	128	407
48	131	404
49	133	400
50	135	395
51	139	395
52	142	394
53	145	393
54	147	389
55	149	384
56	153	385
57	156	382
58	157	377
59	161	376
60	164	374
61	166	370
62	168	366
63	171	365
64	174	362
65	177	359
66	179	357
67	184	357
68	186	353
69	187	348
70	189	343
71	190	339
72	194	337
73	197	335
74	200	334
75	205	336
76	210	335
77	211	331
78	213	327
79	215	322
80	220	324
81	223	321
82	225	317
83	227	314
84	229	310
85	231	307
86	234	304
87	237	301
88	238	297
89	243	297
90	246	295
91	248	292
92	250	288
93	252	285
94	254	281
95	256	277
96	258	274
97	259	270
98	261	267
99	265	265
100	267	262
101	269	259
102	271	256
103	275	254
104	277	251
105	279	247
106	280	243
107	282	240
108	283	236
109	285	233
110	287	230
111	290	228
112	293	225
113	294	222
114	295	218
115	297	215
116	299	212
117	301	209
118	303	206
119	304	202
120	305	199
121	307	196
122	309	193
123	311	191
124	315	189
125	317	186
126	318	182
127	321	180
128	323	178
129	327	176
130	328	172
131	329	169
132	331	166
133	333	164
134	335	161
135	337	158
136	338	155
137	340	152
138	341	149
139	342	146
140	345	144
141	349	142
142	350	139
143	352	136
144	356	135
145	357	132
146	359	129
147	361	126
148	362	124
149	365	121
150	371	120
151	372	117
152	374	115
153	375	112
154	378	109
155	379	107
156	381	104
157	382	101
158	384	99
159	385	96
160	387	93
161	388	91
162	390	88
163	391	86
164	393	83
165	394	80
166	396	78
167	398	75
168	400	73
169	401	70
170	403	68
171	404	65
172	405	63
173	407	60
174	409	58
175	412	56
176	413	53
177	415	51
178	417	48
179	419	46
180	421	44
181	423	41
182	424	39
183	425	37
184	427	34
185	428	32
186	431	29
187	434	27
188	435	25
189	438	23
190	440	20
191	442	18
192	445	16
193	448	13
194	451	11
195	454	9
196	456	6
197	459	4
198	461	2
199	462	0
